 Gestión RR.HH. Valoración del Desempeño,  None ,  None ,  None ,Administracion TIC, 
 Grabación y Difusión de eventos,  None ,  None ,  None ,Administracion TIC, 
 Impresión Corporativa,  None ,  None ,  None ,Administracion TIC, 
 Intercambio de ficheros. Ficheros gran volumen,  None ,  None ,  None ,Administracion TIC, 
 Intercambio de ficheros. FTP,  None ,  None ,  None ,Administracion TIC, 
 Intranet,  None ,  None ,  None ,Administracion TIC, 
 Intranet. Portal del empleado,  None ,  None ,  None ,Administracion TIC, 
 Intranet. Portal del estudiante o Secretaria Virtual,  None ,  None ,  None ,Administracion TIC, 
 Intranet. Portal del investigador,  None ,  None ,  None ,Administracion TIC, 
 Mantenimiento de equipamiento informático corporativo.,  None ,  None ,  None ,Administracion TIC, 
 Mantenimiento de software corporativo.,  None ,  None ,  None ,Administracion TIC, 
 Notificaciones. Listas de Distribución,  None ,  None ,  None ,Administracion TIC, 
 Notificaciones. Redes Sociales,  None ,  None ,  None ,Administracion TIC, 
 Notificaciones. SMS,  None ,  None ,  None ,Administracion TIC, 
 Secretaría General.,  None ,  None ,  None ,Administracion TIC, 
 Secretaría General. Archivo Universitario,  None ,  None ,  None ,Administracion TIC, 
 Secretaría General. Convenios,  None ,  None ,  None ,Administracion TIC, 
 Secretaría General. Elecciones Universitarias,  None ,  None ,  None ,Administracion TIC, 
 Secretaría General. Gestor Documental,  None ,  None ,  None ,Administracion TIC, 
 Secretaría General. Normativa,  None ,  None ,  None ,Administracion TIC, 
 Secretaría General. Protocolo,  None ,  None ,  None ,Administracion TIC, 
 Secretaría General. Registro,  None ,  None ,  None ,Administracion TIC, 
 Alojamiento de Infraestructuras,  None ,  None ,  None ,Administracion TIC, 
 Análisis de datos,  None ,  None ,  None ,Administracion TIC, 
 Asesoramiento adquisición infraestructuras y servicios TIC para investigación,  None ,  None ,  None ,Administracion TIC, 
 Asesoramiento para adquisición de equipamiento informático y software.,  None ,  None ,  None ,Administracion TIC, 
 Atención al Usuario (CAU),  None ,  None ,  None ,Administracion TIC, 
 Autenticación Centralizada,  None ,  None ,  None ,Administracion TIC, 
 Biblioteca Universitaria,  None ,  None ,  None ,Administracion TIC, 
 Biblioteca Universitaria. Repositorio institucional,  None ,  None ,  None ,Administracion TIC, 
 Comunicación. Cartelería Digital,  None ,  None ,  None ,Administracion TIC, 
 Comunicación. Eventos,  None ,  None ,  None ,Administracion TIC, 
 Comunicación. Prensa universitaira,  None ,  None ,  None ,Administracion TIC, 
 Conexión a red Cableada,  None ,  None ,  None ,Administracion TIC, 
 Conexión a red Inalámbrica,  None ,  None ,  None ,Administracion TIC, 
 Conexión Externo a Red de Comunicaciones,  None ,  None ,  None ,Administracion TIC, 
 Consulta Tarificación Telefónica,  None ,  None ,  None ,Administracion TIC, 
 Contenidos Digitales. Contenidos Docentes,  None ,  None ,  None ,Administracion TIC, 
 Contenidos Digitales. Contenidos Docentes de acceso abierto,  None ,  None ,  None ,Administracion TIC, 
 Contenidos Digitales. Material audiovisual,  None ,  None ,  None ,Administracion TIC, 
 Contenidos Digitales. Material fotográfico,  None ,  None ,  None ,Administracion TIC, 
 Correo electrónico. Egresados,  None ,  None ,  None ,Administracion TIC, 
 Correo electrónico. Estudiantes,  None ,  None ,  None ,Administracion TIC, 
 Correo electrónico. PDI y PAS,  None ,  None ,  None ,Administracion TIC, 
 Correo electrónico. Preuniversitarios,  None ,  None ,  None ,Administracion TIC, 
 Directorio,  None ,  None ,  None ,Administracion TIC, 
